"PSM.Score","rf"
247.5585,"hs0100.raw"
224.1888,"hs0100.raw"
210.3955,"hs0100.raw"
204.3278,"hs0100.raw"
243.0316,"hs0100.raw"
160.9737,"hs0100.raw"
302.4363,"hs0100.raw"
243.0316,"hs0100.raw"
260.6343,"hs0100.raw"
220.8596,"hs0100.raw"
312.1177,"hs0100.raw"
313.4492,"hs0100.raw"
293.8784,"hs0100.raw"
313.8732,"hs0100.raw"
275.7043,"hs0100.raw"
288.9946,"hs0100.raw"
180.9101,"hs0100.raw"
239.8202,"hs0100.raw"
255.4406,"hs0100.raw"
192.7411,"hs0100.raw"
232.4577,"hs0100.raw"
286.8274,"hs0100.raw"
220.7101,"hs0100.raw"
110.4624,"hs0100.raw"
116.8432,"hs0100.raw"
212.431,"hs0100.raw"
230.5442,"hs0100.raw"
293.8784,"hs0100.raw"
166.2155,"hs0100.raw"
177.9176,"hs0100.raw"
176.834,"hs0100.raw"
136.6626,"hs0100.raw"
176.834,"hs0100.raw"
298.5615,"hs0100.raw"
302.8646,"hs0100.raw"
198.5382,"hs0100.raw"
235.9556,"hs0100.raw"
198.5382,"hs0100.raw"
275.7043,"hs0100.raw"
199.9141,"hs0100.raw"
242.3691,"hs0100.raw"
86.38123,"hs0100.raw"
131.9887,"hs0100.raw"
179.3972,"hs0100.raw"
73.85231,"hs0100.raw"
228.625,"hs0100.raw"
314.174,"hs0100.raw"
188.3157,"hs0100.raw"
342.5779,"hs0100.raw"
217.9524,"hs0100.raw"
174.2473,"hs0100.raw"
262.525,"hs0100.raw"
350,"hs0100.raw"
334.632,"hs0100.raw"
255.4406,"hs0100.raw"
350,"hs0100.raw"
298.4566,"hs0100.raw"
350,"hs0100.raw"
244.8035,"hs0100.raw"
237.2473,"hs0100.raw"
278.8923,"hs0100.raw"
266.4792,"hs0100.raw"
163.7179,"hs0100.raw"
258.1755,"hs0100.raw"
328.1186,"hs0100.raw"
293.8784,"hs0100.raw"
202.1201,"hs0100.raw"
209.2246,"hs0100.raw"
298.4566,"hs0100.raw"
124.1644,"hs0100.raw"
136.6626,"hs0100.raw"
258.855,"hs0100.raw"
191.9891,"hs0100.raw"
224.1888,"hs0100.raw"
254.2921,"hs0100.raw"
226.6035,"hs0100.raw"
304.3372,"hs0100.raw"
278.5093,"hs0100.raw"
350,"hs0100.raw"
248.0132,"hs0100.raw"
310.7217,"hs0100.raw"
319.4724,"hs0100.raw"
231.242,"hs0100.raw"
311.8799,"hs0100.raw"
313.4492,"hs0100.raw"
203.2169,"hs0100.raw"
337.2446,"hs0100.raw"
195.3504,"hs0100.raw"
124.8721,"hs0100.raw"
157.1358,"hs0100.raw"
210.8192,"hs0100.raw"
182.1856,"hs0100.raw"
244.0735,"hs0100.raw"
286.8274,"hs0100.raw"
273.0135,"hs0100.raw"
164.2711,"hs0100.raw"
220.8596,"hs0100.raw"
150.6006,"hs0100.raw"
343.9937,"hs0100.raw"
303.1424,"hs0100.raw"
204.3278,"hs0100.raw"
206.0652,"hs0100.raw"
148.9641,"hs0100.raw"
131.9887,"hs0100.raw"
350,"hs0100.raw"
209.7559,"hs0100.raw"
350,"hs0100.raw"
347.9607,"hs0100.raw"
276.5464,"hs0100.raw"
311.8799,"hs0100.raw"
190.8916,"hs0100.raw"
254.5049,"hs0100.raw"
130.1237,"hs0100.raw"
298.4566,"hs0100.raw"
286.8274,"hs0100.raw"
262.8064,"hs0100.raw"
217.7024,"hs0100.raw"
160.9737,"hs0100.raw"
350,"hs0100.raw"
208.6383,"hs0100.raw"
147.555,"hs0100.raw"
207.1283,"hs0100.raw"
266.2058,"hs0100.raw"
104.0105,"hs0100.raw"
248.0132,"hs0100.raw"
201.3432,"hs0100.raw"
319.9942,"hs0100.raw"
217.7024,"hs0100.raw"
268.427,"hs0100.raw"
262.8064,"hs0100.raw"
315.0029,"hs0100.raw"
217.9524,"hs0100.raw"
270.8214,"hs0100.raw"
350,"hs0100.raw"
183.3474,"hs0100.raw"
262.8064,"hs0100.raw"
306.3565,"hs0100.raw"
350,"hs0100.raw"
194.1246,"hs0100.raw"
223.3836,"hs0100.raw"
243.0316,"hs0100.raw"
200.0842,"hs0100.raw"
246.4611,"hs0100.raw"
171.9697,"hs0100.raw"
312.1177,"hs0100.raw"
350,"hs0100.raw"
222.2304,"hs0100.raw"
350,"hs0100.raw"
350,"hs0100.raw"
242.3691,"hs0100.raw"
350,"hs0100.raw"
313.4492,"hs0100.raw"
282.6916,"hs0100.raw"
311.8799,"hs0100.raw"
350,"hs0100.raw"
334.5802,"hs0100.raw"
166.2155,"hs0100.raw"
297.5098,"hs0100.raw"
262.8064,"hs0100.raw"
182.0579,"hs0100.raw"
349.7216,"hs0100.raw"
350,"hs0100.raw"
306.3565,"hs0100.raw"
237.2473,"hs0100.raw"
237.4659,"hs0100.raw"
266.7494,"hs0100.raw"
244.2388,"hs0100.raw"
316.2723,"hs0100.raw"
279.4095,"hs0100.raw"
298.4566,"hs0100.raw"
210.3955,"hs0100.raw"
256.0161,"hs0100.raw"
337.2321,"hs0100.raw"
350,"hs0100.raw"
313.4492,"hs0100.raw"
254.5049,"hs0100.raw"
290.7449,"hs0100.raw"
216.9112,"hs0100.raw"
111.1748,"hs0100.raw"
155.2265,"hs0100.raw"
126.8712,"hs0100.raw"
299.2849,"hs0100.raw"
261.4114,"hs0100.raw"
350,"hs0100.raw"
152.6864,"hs0100.raw"
315.1051,"hs0100.raw"
299.2849,"hs0100.raw"
209.7559,"hs0100.raw"
92.24773,"hs0100.raw"
313.4492,"hs0100.raw"
218.316,"hs0100.raw"
270.8214,"hs0100.raw"
255.4406,"hs0100.raw"
231.1884,"hs0100.raw"
230.5442,"hs0100.raw"
170.9468,"hs0100.raw"
112.7974,"hs0100.raw"
279.0841,"hs0100.raw"
322.8876,"hs0100.raw"
188.3157,"hs0100.raw"
311.8799,"hs0100.raw"
261.7467,"hs0100.raw"
185.012,"hs0100.raw"
281.107,"hs0100.raw"
228.625,"hs0100.raw"
286.8986,"hs0100.raw"
214.5075,"hs0100.raw"
266.2058,"hs0100.raw"
254.5049,"hs0100.raw"
242.2858,"hs0100.raw"
116.9681,"hs0100.raw"
350,"hs0100.raw"
276.5464,"hs0100.raw"
315.1051,"hs0100.raw"
212.9479,"hs0100.raw"
211.6914,"hs0100.raw"
250.9743,"hs0100.raw"
350,"hs0100.raw"
322.8876,"hs0100.raw"
248.8382,"hs0100.raw"
325.0853,"hs0100.raw"
260.2964,"hs0100.raw"
350,"hs0100.raw"
247.5585,"hs0100.raw"
349.9569,"hs0100.raw"
344.4994,"hs0100.raw"
350,"hs0100.raw"
166.9692,"hs0100.raw"
319.7991,"hs0100.raw"
217.9524,"hs0100.raw"
159.8597,"hs0100.raw"
222.9418,"hs0100.raw"
350,"hs0100.raw"
235.164,"hs0100.raw"
279.0721,"hs0100.raw"
170.0498,"hs0100.raw"
350,"hs0100.raw"
229.7061,"hs0100.raw"
283.385,"hs0100.raw"
238.7743,"hs0100.raw"
235.3332,"hs0100.raw"
