"PSM.Score","rf"
221.6437,"hs0041.raw"
210.5541,"hs0041.raw"
224.3651,"hs0041.raw"
314.1201,"hs0041.raw"
220.8865,"hs0041.raw"
239.9965,"hs0041.raw"
220.9635,"hs0041.raw"
221.0359,"hs0041.raw"
215.0505,"hs0041.raw"
256.0598,"hs0041.raw"
261.9407,"hs0041.raw"
156.678,"hs0041.raw"
267.4813,"hs0041.raw"
254.5036,"hs0041.raw"
213.1243,"hs0041.raw"
290.78,"hs0041.raw"
313.661,"hs0041.raw"
244.2306,"hs0041.raw"
243.6369,"hs0041.raw"
287.0392,"hs0041.raw"
152.9304,"hs0041.raw"
101.7665,"hs0041.raw"
260.8107,"hs0041.raw"
306.9035,"hs0041.raw"
312.1092,"hs0041.raw"
197.9075,"hs0041.raw"
186.7998,"hs0041.raw"
243.208,"hs0041.raw"
184.7687,"hs0041.raw"
350,"hs0041.raw"
191.1946,"hs0041.raw"
249.4579,"hs0041.raw"
140.6472,"hs0041.raw"
220.8865,"hs0041.raw"
211.0127,"hs0041.raw"
190.8029,"hs0041.raw"
149.0874,"hs0041.raw"
202.4529,"hs0041.raw"
124.7818,"hs0041.raw"
214.1951,"hs0041.raw"
96.50519,"hs0041.raw"
228.1695,"hs0041.raw"
157.8208,"hs0041.raw"
238.4892,"hs0041.raw"
245.1879,"hs0041.raw"
294.0901,"hs0041.raw"
159.983,"hs0041.raw"
209.2591,"hs0041.raw"
316.4716,"hs0041.raw"
262.7365,"hs0041.raw"
350,"hs0041.raw"
348.4464,"hs0041.raw"
235.2018,"hs0041.raw"
298.6684,"hs0041.raw"
350,"hs0041.raw"
305.783,"hs0041.raw"
209.932,"hs0041.raw"
350,"hs0041.raw"
239.9965,"hs0041.raw"
261.9407,"hs0041.raw"
239.8088,"hs0041.raw"
258.3872,"hs0041.raw"
328.348,"hs0041.raw"
181.0335,"hs0041.raw"
281.301,"hs0041.raw"
312.0525,"hs0041.raw"
298.6684,"hs0041.raw"
207.8067,"hs0041.raw"
116.9488,"hs0041.raw"
287.542,"hs0041.raw"
144.1047,"hs0041.raw"
150.6793,"hs0041.raw"
194.7281,"hs0041.raw"
281.0994,"hs0041.raw"
229.002,"hs0041.raw"
103.3902,"hs0041.raw"
308.3239,"hs0041.raw"
277.5374,"hs0041.raw"
194.672,"hs0041.raw"
312.1092,"hs0041.raw"
350,"hs0041.raw"
293.5034,"hs0041.raw"
248.2071,"hs0041.raw"
350,"hs0041.raw"
229.1447,"hs0041.raw"
244.2306,"hs0041.raw"
214.6838,"hs0041.raw"
119.9181,"hs0041.raw"
186.6937,"hs0041.raw"
248.2071,"hs0041.raw"
226.6567,"hs0041.raw"
235.3578,"hs0041.raw"
255.652,"hs0041.raw"
289.4417,"hs0041.raw"
202.2787,"hs0041.raw"
158.5185,"hs0041.raw"
192.3615,"hs0041.raw"
276.7405,"hs0041.raw"
179.6862,"hs0041.raw"
86.45165,"hs0041.raw"
191.0501,"hs0041.raw"
277.5374,"hs0041.raw"
126.6711,"hs0041.raw"
350,"hs0041.raw"
194.7281,"hs0041.raw"
157.5603,"hs0041.raw"
272.1273,"hs0041.raw"
198.3088,"hs0041.raw"
116.9488,"hs0041.raw"
300.5197,"hs0041.raw"
348.4464,"hs0041.raw"
345.1658,"hs0041.raw"
254.5036,"hs0041.raw"
175.2337,"hs0041.raw"
315.2146,"hs0041.raw"
247.7699,"hs0041.raw"
252.3436,"hs0041.raw"
142.3161,"hs0041.raw"
208.3991,"hs0041.raw"
230.7205,"hs0041.raw"
277.5374,"hs0041.raw"
272.1273,"hs0041.raw"
263.0005,"hs0041.raw"
201.5017,"hs0041.raw"
248.2071,"hs0041.raw"
200.6151,"hs0041.raw"
275.916,"hs0041.raw"
234.968,"hs0041.raw"
344.2582,"hs0041.raw"
320.2763,"hs0041.raw"
233.703,"hs0041.raw"
211.8501,"hs0041.raw"
194.7281,"hs0041.raw"
182.3441,"hs0041.raw"
348.4464,"hs0041.raw"
287.0392,"hs0041.raw"
277.2589,"hs0041.raw"
182.149,"hs0041.raw"
350,"hs0041.raw"
223.5423,"hs0041.raw"
243.208,"hs0041.raw"
258.3872,"hs0041.raw"
218.5627,"hs0041.raw"
312.347,"hs0041.raw"
148.26,"hs0041.raw"
126.5366,"hs0041.raw"
287.0392,"hs0041.raw"
200.6151,"hs0041.raw"
350,"hs0041.raw"
164.4761,"hs0041.raw"
334.792,"hs0041.raw"
236.9944,"hs0041.raw"
350,"hs0041.raw"
281.0994,"hs0041.raw"
239.9965,"hs0041.raw"
272.9885,"hs0041.raw"
251.1683,"hs0041.raw"
211.8501,"hs0041.raw"
271.7122,"hs0041.raw"
350,"hs0041.raw"
260.8107,"hs0041.raw"
182.1989,"hs0041.raw"
263.0005,"hs0041.raw"
350,"hs0041.raw"
295.5279,"hs0041.raw"
249.0146,"hs0041.raw"
313.661,"hs0041.raw"
260.0642,"hs0041.raw"
283.5264,"hs0041.raw"
185.6861,"hs0041.raw"
350,"hs0041.raw"
350,"hs0041.raw"
222.4066,"hs0041.raw"
307.8324,"hs0041.raw"
218.2049,"hs0041.raw"
235.2018,"hs0041.raw"
298.6684,"hs0041.raw"
172.2164,"hs0041.raw"
350,"hs0041.raw"
277.2589,"hs0041.raw"
273.8814,"hs0041.raw"
202.5823,"hs0041.raw"
350,"hs0041.raw"
251.1683,"hs0041.raw"
231.8326,"hs0041.raw"
350,"hs0041.raw"
249.2051,"hs0041.raw"
298.6684,"hs0041.raw"
196.3526,"hs0041.raw"
220.8865,"hs0041.raw"
203.3929,"hs0041.raw"
164.8579,"hs0041.raw"
276.7405,"hs0041.raw"
290.9741,"hs0041.raw"
302.6416,"hs0041.raw"
218.5627,"hs0041.raw"
216.1577,"hs0041.raw"
179.6862,"hs0041.raw"
192.3615,"hs0041.raw"
350,"hs0041.raw"
79.95215,"hs0041.raw"
218.2049,"hs0041.raw"
312.1092,"hs0041.raw"
279.104,"hs0041.raw"
350,"hs0041.raw"
183.5059,"hs0041.raw"
112.449,"hs0041.raw"
302.5313,"hs0041.raw"
189.1951,"hs0041.raw"
169.4712,"hs0041.raw"
313.661,"hs0041.raw"
200.9247,"hs0041.raw"
217.8612,"hs0041.raw"
214.1789,"hs0041.raw"
230.7205,"hs0041.raw"
280.493,"hs0041.raw"
188.4567,"hs0041.raw"
328.348,"hs0041.raw"
328.348,"hs0041.raw"
225.9083,"hs0041.raw"
228.8014,"hs0041.raw"
281.301,"hs0041.raw"
294.5677,"hs0041.raw"
178.3066,"hs0041.raw"
184.7409,"hs0041.raw"
235.5272,"hs0041.raw"
178.0586,"hs0041.raw"
172.2672,"hs0041.raw"
256.2101,"hs0041.raw"
179.6862,"hs0041.raw"
230.7205,"hs0041.raw"
315.3519,"hs0041.raw"
350,"hs0041.raw"
221.0359,"hs0041.raw"
182.1989,"hs0041.raw"
194.7281,"hs0041.raw"
350,"hs0041.raw"
294.0901,"hs0041.raw"
272.1273,"hs0041.raw"
175.2337,"hs0041.raw"
220.0906,"hs0041.raw"
195.509,"hs0041.raw"
226.954,"hs0041.raw"
256.0598,"hs0041.raw"
206.623,"hs0041.raw"
293.5034,"hs0041.raw"
222.4066,"hs0041.raw"
237.4412,"hs0041.raw"
150.3623,"hs0041.raw"
350,"hs0041.raw"
312.0525,"hs0041.raw"
329.6007,"hs0041.raw"
331.4972,"hs0041.raw"
254.6987,"hs0041.raw"
