Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
hs0106	1	0	20.005	0.39665	100	739.96	10941	0	-2.9606	2.052	33.12	33.12	30	27.47	1.237	0	1.237	0.007937	0.6414	0.5515	7.013	6462.8	0.970000028610229
hs0106	2	1	20.011	0.26733	100	14579000	56414000	0	-2.9606	2.065	33.3	33.3	30.19	27.65	1.24	0	1.24	0.007937	0.64	1.7068	7.013	3656187.5	0.970000028610229
hs0106	3	2	20.016	0.26756	100	13816000	55514000	0	-2.9606	2.074	33.42	33.42	30.32	27.77	1.242	0	1.242	0.007937	0.639	1.6895	7.013	3576799	0.00999999977648258
hs0106	4	3	20.02	0.60242	3.8	78160000	202410000	1	-2.9606	2.082	33.54	33.54	30.44	27.9	1.244	0	1.244	0.007937	0.638	0.9359	7.013	839649.8	1
hs0106	6	4	20.03	0.60162	1.1	90369000	212240000	1	-2.9606	2.102	33.82	33.82	30.73	28.17	1.248	0	1.248	0.007937	0.6358	0.7305	7.013	326146.4	1
hs0106	8	5	20.04	0.26756	0.94	92959000	214740000	0	-2.9606	2.121	34.09	34.09	31.01	28.45	1.252	0	1.252	0.007937	0.6337	0.7178	7.013	294586.9	1
hs0106	9	6	20.045	0.26733	0.93	94003000	211650000	0	-2.9606	2.13	34.21	34.21	31.14	28.57	1.254	0	1.254	0.007937	0.6327	0.7144	7.013	286094.1	1
hs0106	10	7	20.049	0.26745	0.93	93568000	212060000	0	-2.9606	2.138	34.33	34.33	31.27	28.7	1.256	0	1.256	0.007937	0.6318	0.7157	7.013	289137.1	1
hs0106	11	8	20.053	0.26745	0.96	93099000	213060000	0	-2.9606	2.147	34.45	34.45	31.39	28.82	1.258	0	1.258	0.007937	0.6308	0.7176	7.013	294085.1	1
hs0106	12	9	20.058	0.26745	0.93	93590000	214840000	0	-2.9601	2.156	34.58	34.58	31.52	28.94	1.26	0	1.26	0.007937	0.6299	0.7163	7.013	290873.7	1
hs0106	13	10	20.062	0.93658	0.9	94520000	216520000	2	-2.9591	2.164	34.7	34.7	31.64	29.06	1.262	0	1.262	0.007937	0.629	0.7128	7.013	281949.3	1
hs0106	16	11	20.078	0.26745	0.87	99015000	220710000	0	-2.9554	2.195	35.12	35.12	32.09	29.49	1.268	0	1.268	0.007937	0.6257	0.712	7.013	280067.6	1
hs0106	17	12	20.082	0.26745	0.86	101160000	218290000	0	-2.9544	2.203	35.24	35.24	32.21	29.62	1.27	0	1.27	0.007937	0.6247	0.7098	7.013	274432.5	1
hs0106	18	13	20.087	0.60173	0.86	97907000	219010000	1	-2.9534	2.212	35.37	35.37	32.34	29.74	1.272	0	1.272	0.007937	0.6238	0.7099	7.013	274799.7	1
hs0106	20	14	20.097	0.26733	0.86	100080000	218170000	0	-2.951	2.231	35.64	35.64	32.62	30.02	1.276	0	1.276	0.007937	0.6217	0.7098	6.712	274438.3	1
hs0106	21	15	20.101	0.26756	0.86	105320000	227070000	0	-2.95	2.24	35.76	35.76	32.75	30.14	1.278	0	1.278	0.007937	0.6208	0.7137	6.712	284208	1
hs0106	22	16	20.106	0.26733	0.87	102670000	218760000	0	-2.9489	2.249	35.88	35.88	32.88	30.26	1.28	0	1.28	0.007937	0.6199	0.7115	6.712	278690.3	1
hs0106	23	17	20.11	0.26745	0.85	102230000	220680000	0	-2.9479	2.257	36	36	33	30.38	1.282	0	1.282	0.007937	0.619	0.7096	6.712	273883.1	1
hs0106	24	18	20.115	0.26745	0.86	100420000	213490000	0	-2.9468	2.266	36.12	36.12	33.13	30.51	1.284	0	1.284	0.007937	0.6181	0.7077	6.712	269200.4	1
hs0106	25	19	20.119	0.26745	0.85	102580000	215610000	0	-2.9458	2.274	36.25	36.25	33.26	30.63	1.286	0	1.286	0.007937	0.6172	0.7081	6.712	270321.3	1
hs0106	26	20	20.124	0.26733	0.89	101520000	218840000	0	-2.9448	2.283	36.37	36.37	33.38	30.75	1.288	0	1.288	0.007937	0.6163	0.713	6.712	282440.2	1
hs0106	27	21	20.128	0.26756	0.89	106230000	219360000	0	-2.9437	2.292	36.49	36.49	33.51	30.87	1.29	0	1.29	0.007937	0.6154	0.7126	6.712	281405.3	1
