Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]
hs0114	100	0	0	0	0	0	0	NaN
hs0114	101	0	0	0	0	0	0	NaN
hs0114	102	0	0	0	0	0	0	NaN
hs0114	103	0	0	0	0	0	0	NaN
hs0114	104	0	0	0	0	0	0	NaN
hs0114	105	0	0	0	0	0	0	NaN
hs0114	106	0	0	0	0	0	0	NaN
hs0114	107	0	0	0	0	0	0	NaN
hs0114	108	0	0	0	0	0	0	NaN
hs0114	109	0	0	0	0	0	0	NaN
hs0114	110	0	0	0	0	0	0	NaN
hs0114	111	0	0	0	0	0	0	NaN
hs0114	112	0	0	0	0	0	0	NaN
hs0114	113	0	0	0	0	0	0	NaN
hs0114	114	0	0	0	0	0	0	NaN
hs0114	115	0	0	0	0	0	0	NaN
hs0114	116	0	0	0	0	0	0	NaN
hs0114	117	0	0	0	0	0	0	NaN
hs0114	118	0	0	0	0	0	0	NaN
hs0114	119	0	0	0	0	0	0	NaN
hs0114	120	0	0	0	0	0	0	NaN
hs0114	121	0	0	0	0	0	0	NaN
hs0114	122	0	0	0	0	0	0	NaN
hs0114	123	0	0	0	0	0	0	NaN
hs0114	124	0	0	0	0	0	0	NaN
hs0114	125	0	0	0	0	0	0	NaN
hs0114	126	0	0	0	0	0	0	NaN
hs0114	127	0	0	0	0	0	0	NaN
hs0114	128	0	0	0	0	0	0	NaN
hs0114	129	0	0	0	0	0	0	NaN
hs0114	130	0	0	0	0	0	0	NaN
hs0114	131	0	0	0	0	0	0	NaN
hs0114	132	0	0	0	0	0	0	NaN
hs0114	133	0	0	0	0	0	0	NaN
hs0114	134	0	0	0	0	0	0	NaN
hs0114	135	0	0	0	0	0	0	NaN
hs0114	136	0	0	0	0	0	0	NaN
hs0114	137	0	0	0	0	0	0	NaN
hs0114	138	0	0	0	0	0	0	NaN
hs0114	139	0	0	0	0	0	0	NaN
hs0114	140	0	0	0	0	0	0	NaN
hs0114	141	0	0	0	0	0	0	NaN
hs0114	142	0	0	0	0	0	0	NaN
hs0114	143	0	0	0	0	0	0	NaN
hs0114	144	0	0	0	0	0	0	NaN
hs0114	145	0	0	0	0	0	0	NaN
hs0114	146	0	0	0	0	0	0	NaN
hs0114	147	0	0	0	0	0	0	NaN
hs0114	148	0	0	0	0	0	0	NaN
hs0114	149	0	0	0	0	0	0	NaN
hs0114	150	0	0	0	0	0	0	NaN
hs0114	151	0	0	0	0	0	0	NaN
hs0114	152	0	0	0	0	0	0	NaN
hs0114	153	0	0	0	0	0	0	NaN
hs0114	154	0	0	0	0	0	0	NaN
hs0114	155	0	0	0	0	0	0	NaN
hs0114	156	0	0	0	0	0	0	NaN
hs0114	157	0	0	0	0	0	0	NaN
hs0114	158	0	0	0	0	0	0	NaN
hs0114	159	0	0	0	0	0	0	NaN
hs0114	160	0	0	0	0	0	0	NaN
hs0114	161	0	0	0	0	0	0	NaN
hs0114	162	0	0	0	0	0	0	NaN
hs0114	163	0	0	0	0	0	0	NaN
hs0114	164	0	0	0	0	0	0	NaN
hs0114	165	0	0	0	0	0	0	NaN
hs0114	166	0	0	0	0	0	0	NaN
hs0114	167	0	0	0	0	0	0	NaN
hs0114	168	0	0	0	0	0	0	NaN
hs0114	169	0	0	0	0	0	0	NaN
hs0114	170	0	0	0	0	0	0	NaN
hs0114	171	0	0	0	0	0	0	NaN
hs0114	172	0	0	0	0	0	0	NaN
hs0114	173	0	0	0	0	0	0	NaN
hs0114	174	0	0	0	0	0	0	NaN
hs0114	175	0	0	0	0	0	0	NaN
hs0114	176	0	0	0	0	0	0	NaN
hs0114	177	0	0	0	0	0	0	NaN
hs0114	178	0	0	0	0	0	0	NaN
hs0114	179	0	0	0	0	0	0	NaN
hs0114	180	0	0	0	0	0	0	NaN
hs0114	181	0	0	0	0	0	0	NaN
hs0114	182	0	0	0	0	0	0	NaN
hs0114	183	0	0	0	0	0	0	NaN
hs0114	184	0	0	0	0	0	0	NaN
hs0114	185	0	0	0	0	0	0	NaN
hs0114	186	0	0	0	0	0	0	NaN
hs0114	187	0	0	0	0	0	0	NaN
hs0114	188	0	0	0	0	0	0	NaN
hs0114	189	0	0	0	0	0	0	NaN
hs0114	190	0	0	0	0	0	0	NaN
hs0114	191	0	0	0	0	0	0	NaN
hs0114	192	0	0	0	0	0	0	NaN
hs0114	193	0	0	0	0	0	0	NaN
hs0114	194	0	0	0	0	0	0	NaN
hs0114	195	0	0	0	0	0	0	NaN
hs0114	196	0	0	0	0	0	0	NaN
hs0114	197	0	0	0	0	0	0	NaN
hs0114	198	0	0	0	0	0	0	NaN
hs0114	199	0	0	0	0	0	0	NaN
hs0114	200	0	0	0	0	0	0	NaN
hs0114	201	0	0	0	0	0	0	NaN
hs0114	202	0	0	0	0	0	0	NaN
hs0114	203	0	0	0	0	0	0	NaN
hs0114	204	0	0	0	0	0	0	NaN
hs0114	205	0	0	0	0	0	0	NaN
hs0114	206	0	0	0	0	0	0	NaN
hs0114	207	0	0	0	0	0	0	NaN
hs0114	208	0	0	0	0	0	0	NaN
