Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
sp|O43790|KRT86_HUMAN;CON__O43790	sp|O43790|KRT86_HUMAN;CON__O43790	2;2	1;1	1;1	sp|O43790|KRT86_HUMAN Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1;	2	2	1	1	3.3	1.9	1.9	53.5	486	486;486	0.47969	0.21684	8908.4	6993	745.21	540.02	0	0	0	0	0	0	0	8908.4	6993	745.21	540.02	0	0	0	0	0	0	0	3	3	2	1	0	0	0	0	0	0	0	4190800	3			+	0	2070;5597	False;True	2104;5680	5375;5376;5377;13644;13645;13646	5405;5406;5407;13714;13715;13716	5406;13714				
CON__P00735	CON__P00735	1	1	1		1	1	1	1	1.1	1.1	1.1	70.505	625	625	0.45805	0.24029	43634	59097	2690.8	3185.9	355.7	563.74	0	543.26	622.48	837.71	0	43634	59097	2690.8	3185.9	355.7	563.74	0	543.26	622.48	837.71	0	2	2	2	2	1	1	0	1	2	2	0	10030000	2			+	1	676	True	679	1727;1728	1736;1737	1737				
CON__P00761	CON__P00761	2	2	2		1	2	2	2	7.8	7.8	7.8	24.409	231	231	0	11.592	728110	1597700	45660	104460	18280	86473	21310	88796	22949	94528	0	728110	1597700	45660	104460	18280	86473	21310	88796	22949	94528	0	8	8	8	8	8	8	7	8	7	8	0	1253900000	8			+	2	4078;5939	True;True	4139;4140;6023	10257;10258;10259;10260;10261;14487;14488;14489;14490	10311;10312;10313;10314;10315;14558;14559;14560;14561;14562;14563;14564;14565	10315;14564	0		105	
sp|P02768|ALBU_HUMAN;CON__P02768-1	sp|P02768|ALBU_HUMAN;CON__P02768-1	5;5	2;2	2;2	sp|P02768|ALBU_HUMAN Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2;	2	5	2	2	7.9	3.1	3.1	69.366	609	609;609	0.023715	1.2671	65407	46928	5411.5	3080.3	1619.7	1658.9	1539.5	2095.1	1021.1	2284.8	0	65407	46928	5411.5	3080.3	1619.7	1658.9	1539.5	2095.1	1021.1	2284.8	0	2	2	2	2	2	2	2	2	2	2	0	7714000	2			+	3	813;881;3526;4169;6618	True;True;False;False;False	817;885;3579;4231;6710	2099;2282;8940;8941;8942;8943;10506;16142;16143;16144;16145	2110;2293;8986;8987;8988;8989;10562;16220;16221;16222;16223	2110;2293;8987;10562;16223				
CON__P02769	CON__P02769	12	12	9		1	12	12	9	18.6	18.6	13.8	69.293	607	607	0	39.734	1498900	5213300	86883	361940	29455	158740	33662	171750	33752	164580	317.99	1498900	5213300	86883	361940	29455	158740	33662	171750	33752	164580	317.99	42	42	33	42	29	41	25	41	26	41	1	412370000	42			+	4	201;733;1003;1136;2898;3526;3737;4146;4169;4173;4902;6618	True;True;True;True;True;True;True;True;True;True;True;True	202;735;1008;1142;2940;3579;3793;4208;4231;4235;4978;6710	546;547;548;549;1881;1882;1883;1884;2573;2574;2575;2934;2935;2936;2937;7432;7433;7434;7435;8940;8941;8942;8943;9434;9435;9436;10435;10436;10437;10438;10506;10514;10515;10516;12094;12095;12096;12097;16142;16143;16144;16145	546;547;548;549;1891;1892;1893;1894;2585;2586;2587;2946;2947;2948;2949;7470;7471;7472;7473;8986;8987;8988;8989;9480;9481;9482;10489;10490;10491;10492;10562;10570;10571;10572;12152;12153;12154;12155;16220;16221;16222;16223	548;1894;2587;2949;7471;8987;9482;10492;10562;10572;12155;16223				
sp|P07477|TRY1_HUMAN;CON__P07477	sp|P07477|TRY1_HUMAN;CON__P07477	1;1	1;1	1;1	sp|P07477|TRY1_HUMAN Trypsin-1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1;	2	1	1	1	2.8	2.8	2.8	26.558	247	247;247	0.55835	0.16664	46118	73920	3435.2	4327.1	230.3	559.94	0	279.9	0	0	0	46118	73920	3435.2	4327.1	230.3	559.94	0	279.9	0	0	0	2	2	2	2	1	2	0	1	0	0	0	76974000	2			+	5	4504	True	4580	11332;11333	11390;11391	11390				
sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729;sp|Q8NI28|CG013_HUMAN	sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729	4;4;4;1	1;1;1;1	1;1;1;1	sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;;	4	4	1	1	4.9	1.5	1.5	51.385	469	469;469;469;216	0.53703	0.16923	56503	57915	3610.4	3337.9	1248.3	1916.6	1485.4	1403.2	990.46	1691.7	0	56503	57915	3610.4	3337.9	1248.3	1916.6	1485.4	1403.2	990.46	1691.7	0	1	1	1	1	1	1	1	1	1	1	0	2247200	1			+	6	2070;3431;3864;5579	False;False;False;True	2104;3485;3923;5662	5375;5376;5377;8728;8729;8730;8731;9744;9745;9746;9747;13601	5405;5406;5407;8774;8775;8776;8777;9793;9794;9795;9796;13671	5406;8777;9795;13671				
CON__P12763	CON__P12763	4	4	4		1	4	4	4	12.3	12.3	12.3	38.418	359	359	0	13.447	588650	1348200	30235	83201	12374	39997	14017	49045	12515	43098	0	588650	1348200	30235	83201	12374	39997	14017	49045	12515	43098	0	15	15	10	15	8	13	9	13	7	12	0	139090000	15			+	7	477;2938;4742;5768	True;True;True;True	479;2982;4818;5852	1205;1206;1207;1208;7515;11771;11772;11773;14072;14073;14074;14075;14076;14077;14078	1211;1212;1213;1214;7553;11829;11830;11831;14142;14143;14144;14145;14146;14147;14148	1214;7553;11831;14146				
CON__P13717	CON__P13717	6	6	6		1	6	6	6	24.8	24.8	24.8	28.944	266	266	0	20.184	740430	1295800	55079	90462	16469	47710	18329	49602	21172	50864	0	740430	1295800	55079	90462	16469	47710	18329	49602	21172	50864	0	20	20	19	20	13	17	15	17	15	17	0	112710000	20			+	8	158;1275;5125;5606;6391;6392	True;True;True;True;True;True	157;1287;5205;5689;6482;6483	410;411;412;3317;3318;12554;12555;12556;12557;13664;13665;13666;13667;15611;15612;15613;15614;15615;15616;15617	410;411;412;3331;3332;12615;12616;12617;12618;13734;13735;13736;13737;15689;15690;15691;15692;15693;15694;15695	411;3332;12618;13737;15692;15694				
sp|P20930|FILA_HUMAN;CON__P20930	sp|P20930|FILA_HUMAN;CON__P20930	1;1	1;1	1;1	sp|P20930|FILA_HUMAN Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3;	2	1	1	1	0.2	0.2	0.2	435.16	4061	4061;4061	0.52954	0.16923	89281	72178	6433	4831.1	2639.6	2125.8	1813.1	2927.7	2076.4	2435.5	0	89281	72178	6433	4831.1	2639.6	2125.8	1813.1	2927.7	2076.4	2435.5	0	1	1	1	1	1	1	1	1	1	1	0	5245200	1			+	9	5039	True	5117	12369	12429	12429				
