Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P10635;A0A087X1C5	P10635;A0A087X1C5	1;1	1;1	1;1	Cytochrome P450 2D6;Putative cytochrome P450 2D7	CYP2D6;CYP2D7	CP2D6_HUMAN Cytochrome P450 2D6 OS=Homo sapiens GN=CYP2D6 PE=1 SV=2;CP2D7_HUMAN Putative cytochrome P450 2D7 OS=Homo sapiens GN=CYP2D7 PE=5 SV=1	2	1	1	1	2	2	2	55.769	497	497;515	0.21255	0.27597	73288	85114	0	265.64	305.36	514.95	580.65	1187.9	466.08	1073.7	1001.8	938.84	0	0	0	0	67885	79045	4528.3	6154.1	400.09	698.78	566.41	1161	498.03	1081.3	957.42	929.36	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	2067600	1				0	2734	True	2740	2998	3102	3102		
A0A096LNP1;P59861	A0A096LNP1;P59861	1;1	1;1	1;1	Beta-defensin;Beta-defensin 131	LOC100129216;DEFB131	D131B_HUMAN Beta-defensin 131B OS=Homo sapiens GN=DEFB131B PE=3 SV=1;D131A_HUMAN Beta-defensin 131A OS=Homo sapiens GN=DEFB131A PE=2 SV=2	2	1	1	1	17.1	17.1	17.1	8.1555	70	70;70	0.22992	0.26248	218900	276050	2832.5	5695	1791.4	1856.4	1326.8	2295.3	1918.4	3319	1616.1	2710.3	0	1056.2	0	489.96	202800	256400	18335	24449	2327.4	2706	1376.3	2327.8	1915.5	3280.4	1586.8	2722.7	0	1102.7	0	478.15	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	64905000	1				1	4938	True	4948	5409	5569	5569		
A1A4S6	A1A4S6	1	1	1	Rho GTPase-activating protein 10	ARHGAP10	RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	89.374	786	786	0.425	0.10566	110020	189150	0	0	1515.8	1058.2	809.22	2367	566.19	2136.6	1314.8	1960.7	0	0	0	0	101920	175650	7626.2	11830	1643	1343.1	842.6	2312.3	614.27	2154	1254.9	1937.1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	7149300	1				2	1245	True	1245	1369	1421	1421		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2	1	1	1	1	5.8	5.8	5.8	16.765	154	154	0.54453	-0.80126	112790	179540	0	2774	1285.7	915.63	830.18	2497.3	693.16	2825.4	825.51	2391.5	0	436.02	0	633.07	104480	166750	7579.6	15037	1417.8	1451.7	853.03	2450.4	717.01	2816.7	800.31	2385.3	0	508.68	0	603.7	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	5093500	1				3	1905	True	1907	2093	2161	2161		
A4D1T9	A4D1T9	1	1	1	Probable inactive serine protease 37	PRSS37	PRS37_HUMAN Probable inactive serine protease 37 OS=Homo sapiens GN=PRSS37 PE=2 SV=1	1	1	1	1	3	3	3	26.444	235	235	0.33631	0.17811	58854	134400	2332.9	2006.4	469.79	1886.9	414.7	1174.2	625.27	1544	687.28	2065.2	0	163.78	0	0	54535	124830	6391.6	11203	712.73	2191	428.64	1234.2	628.95	1550.4	667.84	2019.6	0	211.02	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	2918200	1				4	4724	True	4734	5177	5335	5335		
Q8IX94;Q86UF2;P0CG41;A4FU28;A4D2H0	Q8IX94;Q86UF2;P0CG41;A4FU28;A4D2H0	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	cTAGE family member 4;cTAGE family member 6;cTAGE family member 8;cTAGE family member 9;cTAGE family member 15	CTAGE4;CTAGE6;CTAGE8;CTAGE9;CTAGE15	CTGE4_HUMAN cTAGE family member 4 OS=Homo sapiens GN=CTAGE4 PE=2 SV=3;CTGE6_HUMAN cTAGE family member 6 OS=Homo sapiens GN=CTAGE6 PE=2 SV=2;CTGE8_HUMAN cTAGE family member 8 OS=Homo sapiens GN=CTAGE8 PE=3 SV=1;CTGE9_HUMAN cTAGE family member 9 OS=Homo sapi	5	1	1	1	1.8	1.8	1.8	87.988	777	777;777;777;777;777	0.20809	0.28041	45124	83710	836.72	485.64	0	694.88	370.59	794.1	470.53	1403.7	0	940.17	0	682.27	0	0	41807	77743	4010.5	6262.1	0	869.4	357.59	812.32	457.68	1375.1	0	962.05	0	676.42	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	23538000	1				5	2935	True	2943	3221	3333	3333		
A4D2P6	A4D2P6	1	1	1	Delphilin	GRID2IP	GRD2I_HUMAN Delphilin OS=Homo sapiens GN=GRID2IP PE=3 SV=2	1	1	1	1	0.6	0.6	0.6	132.27	1211	1211	0.55143	-0.83016	41274	106280	0	0	627.69	708.93	0	1173.9	233.66	1095.3	450.36	1495.7	0	0	0	0	38230	98701	2236.5	7301	623.71	901.75	0	1158.5	235.19	1114.4	431.07	1458.6	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1495700	1				6	3328	True	3336	3647	3772	3772		
Q6S8J3;A5A3E0;P0CG38;P0CG39;Q6S8J7;Q6S5H5;A6NI47;B2RU33;H3BUK9;Q6S545;Q6S5H4;A0JP26	Q6S8J3;A5A3E0;P0CG38;P0CG39	6;6;5;3;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	POTE ankyrin domain family member E;POTE ankyrin domain family member F;POTE ankyrin domain family member I;POTE ankyrin domain family member J	POTEE;POTEF;POTEI;POTEJ	POTEE_HUMAN POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=2 SV=3;POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2;POTEI_HUMAN POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1;POTEJ_H	12	6	1	1	5.4	0.7	0.7	121.36	1075	1075;1075;1075;1038;498;508;508;542;544;545;581;581	0.325	0.18455	74554	109320	0	0	439.55	787.5	0	1051.6	859.18	1416.2	908.22	1325.1	0	0	0	0	69053	101510	3831.8	6136.2	463.71	887.16	0	1054.4	836.98	1406.4	883.3	1307.9	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	5701800	1				7	180;340;490;491;3478;4123	False;True;False;False;False;False	177;337;484;485;3486;4131	192;372;532;533;534;3810;4501;4502;4503;4504	197;198;199;200;201;389;549;550;551;552;553;3939;4641;4642;4643;4644;4645;4646;4647	197;389;549;552;3939;4642		
A6NC86	A6NC86	1	1	1	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	PINLYP	PINLY_HUMAN phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein OS=Homo sapiens GN=PINLYP PE=2 SV=3	1	1	1	1	13.2	13.2	13.2	21.925	204	204	0.19588	0.28828	53052	72151	0	0	453.68	514.6	402.39	924.36	619.75	1035	0	1192.7	0	0	0	0	49140	66993	3123.4	3339.9	496.72	538.41	411.11	911.81	599.41	1039.8	0	1168.8	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	3562100	1				8	1187	True	1185	1306	1358	1358		
A6NCJ1	A6NCJ1	1	1	1	Uncharacterized protein C19orf71	C19orf71	CS071_HUMAN Uncharacterized protein C19orf71 OS=Homo sapiens GN=C19orf71 PE=4 SV=2	1	1	1	1	3.3	3.3	3.3	24.176	209	209	0.54342	-0.79772	15785	13882	0	0	0	0	0	345.14	0	312.62	0	372.85	0	0	0	0	14620	12892	792.71	891.41	0	0	0	329.54	0	317.02	0	365.02	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1166400	1				9	349	True	346	382	399	399		
