Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 20 HeLa cells	Peptides Blank	Peptides Single cell 1	Peptides Single cell 2	Peptides Single cell 4	Peptides 100 HeLa cells	Peptides Single cell 3	Razor + unique peptides 20 HeLa cells	Razor + unique peptides Blank	Razor + unique peptides Single cell 1	Razor + unique peptides Single cell 2	Razor + unique peptides Single cell 4	Razor + unique peptides 100 HeLa cells	Razor + unique peptides Single cell 3	Unique peptides 20 HeLa cells	Unique peptides Blank	Unique peptides Single cell 1	Unique peptides Single cell 2	Unique peptides Single cell 4	Unique peptides 100 HeLa cells	Unique peptides Single cell 3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 20 HeLa cells	Identification type Blank	Identification type Single cell 1	Identification type Single cell 2	Identification type Single cell 4	Identification type 100 HeLa cells	Identification type Single cell 3	Sequence coverage 20 HeLa cells [%]	Sequence coverage Blank [%]	Sequence coverage Single cell 1 [%]	Sequence coverage Single cell 2 [%]	Sequence coverage Single cell 4 [%]	Sequence coverage 100 HeLa cells [%]	Sequence coverage Single cell 3 [%]	Intensity	Intensity 20 HeLa cells	Intensity Blank	Intensity Single cell 1	Intensity Single cell 2	Intensity Single cell 4	Intensity 100 HeLa cells	Intensity Single cell 3	iBAQ	iBAQ 20 HeLa cells	iBAQ Blank	iBAQ Single cell 1	iBAQ Single cell 2	iBAQ Single cell 4	iBAQ 100 HeLa cells	iBAQ Single cell 3	LFQ intensity 20 HeLa cells	LFQ intensity Blank	LFQ intensity Single cell 1	LFQ intensity Single cell 2	LFQ intensity Single cell 4	LFQ intensity 100 HeLa cells	LFQ intensity Single cell 3	MS/MS count 20 HeLa cells	MS/MS count Blank	MS/MS count Single cell 1	MS/MS count Single cell 2	MS/MS count Single cell 4	MS/MS count 100 HeLa cells	MS/MS count Single cell 3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AVT1	A0AVT1	3	3	3	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	3	3	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	2.8	2.8	2.8	117.97	1052	1052	0	4.8079						By MS/MS		0	0	0	0	0	2.8	0	2628200	0	0	0	0	0	2628200	0	41065	0	0	0	0	0	41065	0	0	0	0	0	0	397570	0	0	0	0	0	0	3	0	3				0	156;8029;11972	True;True;True	159;8251;12288	489;25541;37831	348;18629;27706	348;18629;27706		
A6NDG6	A6NDG6	3	3	3	Phosphoglycolate phosphatase	PGP	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	1	3	3	3	3	0	0	0	2	2	1	3	0	0	0	2	2	1	3	0	0	0	2	2	1	10.3	10.3	10.3	34.006	321	321	0	8.8587	By MS/MS				By matching	By MS/MS	By matching	10.3	0	0	0	7.2	7.2	3.1	2358500	411310	0	0	0	97001	1824800	25408	124130	21648	0	0	0	5105.3	96042	1337.2	414060	0	0	0	406720	277030	0	3	0	0	0	0	2	0	5				1	2940;3456;6226	True;True;True	3018;3548;6387	9654;9655;9656;9657;11254;11255;11256;20092	7020;7021;8192;8193;14595	7020;8193;14595		
P30046;A6NHG4	P30046;A6NHG4	3;3	3;3	3;3	D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein	DDT;DDTL	sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	2	3	3	3	3	0	0	0	1	2	0	3	0	0	0	1	2	0	3	0	0	0	1	2	0	30.5	30.5	30.5	12.712	118	118;134	0	11.795	By MS/MS				By matching	By MS/MS		30.5	0	0	0	6.8	23.7	0	9721700	1082100	0	0	0	82810	8556700	0	1215200	135260	0	0	0	10351	1069600	0	797560	0	0	0	0	1578900	0	3	0	0	0	0	2	0	5				2	2368;8943;9516	True;True;True	2428;9181;9771	7849;7850;28173;28174;29805;29806	5737;20534;20535;21711;21712	5737;20535;21711		
A6NHQ2	A6NHQ2	2	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2	1	2	1	1	1	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6.6	3.3	3.3	34.803	334	334	0.0012555	2.1605	By matching		By matching		By matching	By MS/MS	By matching	3.3	0	3.3	0	3.3	6.6	3.3	2340700	0	0	0	0	0	2340700	0	97529	0	0	0	0	0	97529	0	0	0	0	0	0	354080	0	0	0	0	0	0	1	0	1				3	5267;10558	False;True	5405;10842	16947;16948;16949;16950;16951;33148	12384;12385;24220	12385;24220		
A6NKF1	A6NKF1	1	1	1	SAC3 domain-containing protein 1	SAC3D1	sp|A6NKF1|SAC31_HUMAN SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4.5	4.5	4.5	43.553	404	404	0.0096317	1.3471						By MS/MS		0	0	0	0	0	4.5	0	19183000	0	0	0	0	0	19183000	0	834040	0	0	0	0	0	834040	0	0	0	0	0	0	2901800	0	0	0	0	0	0	1	0	1				4	2067	TRUE	2122	6850	4978	4978		
Q99613;B5ME19	Q99613;B5ME19	12;12	12;12	12;12	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=3 SV=1	2	12	12	12	8	0	1	3	5	9	0	8	0	1	3	5	9	0	8	0	1	3	5	9	0	12.8	12.8	12.8	105.34	913	913;914	0	29.135	By MS/MS		By matching	By matching	By matching	By MS/MS		8.1	0	1.1	3.8	5.9	10.1	0	48357000	2580500	0	25929	77052	259140	45414000	0	1051200	56098	0	563.68	1675	5633.5	987270	0	3286900	0	0	2389800	1852200	4051300	0	8	0	0	0	0	9	0	17				5	1462;1567;2420;3985;4012;5597;6292;6681;8310;8831;10167;10247	True;True;True;True;True;True;True;True;True;True;True;True	1504;1612;2481;4088;4115;5740;6453;6857;8537;9068;10437;10521	4794;4795;4796;5154;8022;12962;12963;12964;12965;13035;18013;18014;20270;20271;20272;20273;20274;21514;21515;21516;26346;27863;27864;31877;31878;31879;32120	3549;3803;5851;9404;9405;9446;13133;14728;14729;15625;15626;19212;20302;20303;23256;23257;23437	3549;3803;5851;9404;9446;13133;14729;15626;19212;20303;23257;23437		
B9ZVM9	B9ZVM9	1	1	1	Putative t-complex protein 10A homolog 2	TCP10L2	sp|B9ZVM9|TCP2L_HUMAN T-complex protein 10A homolog 2 OS=Homo sapiens OX=9606 GN=TCP10L2 PE=3 SV=2	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	2.3	2.3	2.3	38.357	353	353	0.0069767	1.4765	By matching					By MS/MS		2.3	0	0	0	0	2.3	0	4745200	62144	0	0	0	0	4683100	0	197720	2589.4	0	0	0	0	195130	0	0	0	0	0	0	502950	0	0	0	0	0	0	2	0	2				6	6065	TRUE	6223	19591;19592;19593	14239;14240	14239		
CON__ENSEMBL:ENSBTAP00000018574	CON__ENSEMBL:ENSBTAP00000018574	1	1	1				1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	3	3	55.207	496	496	0.0047933	1.7008						By MS/MS		0	0	0	0	0	3	0	796080	0	0	0	0	0	796080	0	27451	0	0	0	0	0	27451	0	0	0	0	0	0	120420	0	0	0	0	0	0	1	0	1			+	7	35	TRUE	35	80	65	65		
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	4	4	4				1	4	4	4	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	3.1	3.1	3.1	164.34	1477	1477	0	7.5274						By MS/MS		0	0	0	0	0	3.1	0	4143400	0	0	0	0	0	4143400	0	48179	0	0	0	0	0	48179	0	0	0	0	0	0	626780	0	0	0	0	0	0	4	0	4			+	8	406;1886;2853;11254	True;True;True;True	419;1939;2930;11549	1298;6280;9391;35375	940;4581;6844;25885	940;4581;6844;25885		
CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	6	2	2				1	6	2	2	4	0	4	2	3	6	4	0	0	0	0	0	2	0	0	0	0	0	0	2	0	9.7	4.3	4.3	59.299	536	536	0	4.0346	By matching		By matching	By matching	By matching	By MS/MS	By matching	5.4	0	5.4	3.7	3.9	9.7	5.4	2273500	0	0	0	0	0	2273500	0	90941	0	0	0	0	0	90941	0	0	0	0	0	0	343920	0	0	0	0	0	0	2	0	2			+	9	3086;3087;4129;5114;5196;5868	False;False;True;False;True;False	3166;3167;4237;5246;5332;6018;6019	10072;10073;10074;10075;10076;10077;10078;10079;10080;10081;10082;10083;10084;10085;10086;10087;10088;10089;10090;10091;10092;10093;13387;16464;16465;16466;16467;16720;18985;18986;18987;18988;18989;18990;18991;18992;18993;18994;18995;18996;18997;18998;18999	7335;7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;7369;7370;7371;7372;7373;7374;7375;7376;7377;7378;7379;9730;12020;12021;12022;12023;12212;13812;13813;13814;13815;13816;13817;13818;13819;13820;13821;13822;13823;13824	7338;7358;9730;12020;12212;13824	0	343
